,id,datetime,top_class_name,front_class_name,lane_id,ANPR_frames_process,Processed,Raw_Top_Category_List,Raw_Front_Category_List,double_entry,final_top_class
719,IND0041201020240101312,20_10_2024_18_20_04,Not_Found,truck,1,1,False,['Not_Found'],['truck'],Yes,non_mining
720,IND0041201020240100099,20_10_2024_01_25_36,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,mining_full
721,IND0041201020240200344,20_10_2024_09_08_21,Not_Found,truck,2,4,True,"['Not_Found', 'Not_Found', 'non_mining']","['truck', 'truck', 'truck']",No,covered
722,IND0041201020240200203,20_10_2024_04_45_12,Not_Found,truck,2,2,False,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck']",No,covered
723,IND0041201020240200590,20_10_2024_15_01_03,Not_Found,truck,2,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,non_mining
724,IND0041201020240101441,20_10_2024_19_52_59,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,covered
725,IND0041201020240101116,20_10_2024_15_56_52,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'non_mining']","['truck', 'truck', 'truck']",No,covered
726,IND0041201020240200182,20_10_2024_04_16_55,Not_Found,truck,2,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,non_mining
727,IND0041201020240101314,20_10_2024_18_20_27,Not_Found,mini_truck,1,2,False,['Not_Found'],['mini_truck'],No,Not_Found
728,IND0041201020240101191,20_10_2024_16_54_49,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'non_mining']","['truck', 'truck', 'truck']",No,mining_empty
729,IND0041201020240100618,20_10_2024_10_30_15,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,covered
730,IND0041201020240200095,20_10_2024_02_20_40,Not_Found,truck,2,1,False,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck', 'truck', 'truck']",No,covered
731,IND0041201020240100101,20_10_2024_01_28_11,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,mining_full
732,IND0041201020240100113,20_10_2024_01_41_30,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,covered
733,IND0041201020240200008,20_10_2024_00_09_02,Not_Found,truck,2,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,mining_full
734,IND0041201020240101710,20_10_2024_23_40_02,non_mining,mini_truck,1,1,False,"['Not_Found', 'non_mining', 'non_mining']","['mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck']",No,non_mining
735,IND0041201020240200125,20_10_2024_02_58_25,Not_Found,truck,2,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,Not_Found
736,IND0041201020240200412,20_10_2024_10_53_50,non_mining,mini_truck,2,4,True,"['non_mining', 'non_mining', 'Not_Found']","['mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck']",No,non_mining
737,IND0041201020240101590,20_10_2024_21_40_06,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck', 'truck']",No,non_mining
738,IND0041201020240100692,20_10_2024_11_17_23,non_mining,truck,1,3,False,"['Not_Found', 'non_mining', 'non_mining']","['truck', 'truck', 'truck', 'truck', 'truck']",No,non_mining
739,IND0041201020240200500,20_10_2024_12_52_15,non_mining,truck,2,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
740,IND0041201020240101228,20_10_2024_17_16_21,non_mining,truck,1,4,True,"['Not_Found', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
741,IND0041201020240101716,20_10_2024_23_48_41,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'non_mining']","['truck', 'truck', 'truck']",No,covered
742,IND0041201020240200199,20_10_2024_04_37_09,Not_Found,truck,2,1,False,"['Not_Found', 'Not_Found']","['truck', 'truck']",Yes,covered
